,Earring Height,Diamond Setting,Diamond Color,Material Colour,file_name,No Of Diamonds,Gender,Brand,Karatage,Diamond Clarity,Earring Width,Occasion,Price,Pendant Width,Metal,Collection,Height,image_url,Width,Product Type,Pendant Height,Jewellery Type,Product Details
0,,,,Yellow,Abstract Lord Ganesha Pendant for Kids,,Kids,Tanishq,22,,,Traditional And Ethnic Wear,Rs 7855,,Gold,Core 20,30 Mm,sample_data\Abstract Lord Ganesha Pendant for Kids.PNG,15 Mm,,,Gold Jewellery,This charming Ganesha pendant is perfect for those who like their children to carry their faith close to their hearts. It's the perfect gift for little devotees of Ganpati Bappa! The chain in the image is for representative purpose only and the original product comes without a chain.
1,,,,White,Bold Platinum Bangle for Men,,Men,Tanishq,95,,,Casual Wear,,,Platinum,Padmaja,,sample_data\Bold Platinum Bangle for Men.PNG,,,,Platinum Jewellery,Exude your faith and devotion when you adorn this stylish and classy kada!
2,,,,Yellow,Chic Modern Men's Laser Cut Pendant,,Men,Tanishq,22,,,Traditional And Ethnic Wear,Rs 40244,1.5 Cm,Gold,Modern Gents Pendant,,sample_data\Chic Modern Men's Laser Cut Pendant.PNG,,,3.5 Cm,Gold Jewellery,Look chic and classy on occasions by putting on this stunning Men's Gold Pendant. The chain in the image is for representative purpose only and the actual product comes without a chain.
3,,Prong,G-H,Yellow,Connected Circles Pendant with Chain for Kids,20,Kids,Tanishq,18,I1 I2,,Casual Wear,Rs 29523,1.09 Cm,Gold,Once Upon A Moment,,sample_data\Connected Circles Pendant with Chain for Kids.PNG,,STUDDED,2.5 Cm,Diamond Jewellery,Get ready for your kids to dazzle everyone with their stunning personality and the brilliance of this pendant with chain with interconnected circles and shimmering diamonds
4,,,,,Dainty Diamond Bangle,,,,,,,,Rs 63642,,,,,sample_data\Dainty Diamond Bangle.PNG,,,,,
5,2.33 Cm,,,Yellow,Exquisite Yellow Gold Orchid Jhumkas,,Women,Tanishq,22,,1 Cm,Office Wear,Rs 33089,,Gold,Bestsellers,,sample_data\Exquisite Yellow Gold Orchid Jhumkas.PNG,,Jhumka,,Gold Jewellery,"The precise work of art highlights the royal grandeur in this timeless piece for our affluent customers. With a stunning classic design with a bead accent and a screw back post, this breathtakingly gorgeous gold Jhumkas embraces and accentuates the beauty of your ear. The detail is impeccable."
6,,,,Yellow,Fashionable Floral Bangle,,Women,Tanishq,22,,,Modern Wear,202490,,Gold,Padmaja,,sample_data\Fashionable Floral Bangle.PNG,,,,Gold Jewellery,
7,0.89 Cm,"Nick,Prong",G-H,Yellow,Floral Long Drop Earrings for Kids,14,Kids,Tanishq,18,SI2,0.89 Cm,Modern Wear,Rs 41377,,Gold,Core 20,,sample_data\Floral Long Drop Earrings for Kids.PNG,,STUDDED,,Diamond Jewellery,Sparkle your modern with these alluring Long Floral Diamond Earrings.
8,0.84 Cm,,,Yellow,Fox Face Gold Stud Earrings For Kids,,Kids,Tanishq,22,,0.9 Cm,Casual Wear,Rs 16373,,Gold,Udayam,,sample_data\Fox Face Gold Stud Earrings For Kids.PNG,,PLAINGOLD,,Gold Jewellery,"Adorable and Charming, these Fox Face Gold Stud Earrings will add up to your child's Casual Wear look."
9,,,,Yellow,Fun Pegs Necklace for Kids,,Kids,Tanishq,22,,,Casual Wear,Rs 39764,,Gold,Once Upon A Moment,,sample_data\Fun Pegs Necklace for Kids.PNG,,,,Gold Jewellery,
10,,,,Yellow,Graceful Delicate Bangle,,Women,Tanishq,22,,,Office Wear,Rs 196806,,Gold,Padmaja,,sample_data\Graceful Delicate Bangle.PNG,,,,Gold Jewellery,"Expertly designed to balance opulence with grace, this bangle is a lovely piece. No matter the occasion, you'll never tire of wearing this!"
11,,,,,Graceful Stamp Bracelet,,,,,,,,Rs 72995,,,,,sample_data\Graceful Stamp Bracelet.PNG,,,,,
12,0.7 Cm,,,Yellow,Koala Face Gold Stud Earrings For Kids,,Kids,Tanishq,22,,0.7 Cm,Casual Wear,Rs 15232,,Gold,Udayam,,sample_data\Koala Face Gold Stud Earrings For Kids.PNG,,PLAINGOLD,,Gold Jewellery,Make sure your child shines bright everyday with these Koala Face Gold Stud Earrings.
13,,,,,Lovely Butterfly Gold Pendant with Chain For Kids,,,,,,,,Rs 48735,,,,,sample_data\Lovely Butterfly Gold Pendant with Chain For Kids.PNG,,,,,This Butterfly Gold Pendant with Chain make for a lovely wear For Kids
14,,,,Yellow,Mamma Mia 14 KT Yellow Gold Delightful Bubbles Stud Earrings for Kids,,Kids,Tanishq,18,,,,Rs 10319,,Gold,Mamma Mia,9 Mm,sample_data\Mamma Mia 14 KT Yellow Gold Delightful Bubbles Stud Earrings for Kids.PNG,5 Mm,OTHERS,,Gold Jewellery,
15,,,,White And Rose,Modern Dual Tone Gold Chain For Men,,Men,Tanishq,18,,,Modern Wear,Rs 66666,,Gold,Aveer,,sample_data\Modern Dual Tone Gold Chain For Men.PNG,,,,Gold Jewellery,The contemporary man in you to stand apart from the crowd when donning this Dual Tone Gold Chain.
16,3.79 Cm,,,Yellow,Pear Shape Contemporary Drop Earrings,,Women,Tanishq,22,,0.65 Cm,Office Wear,Rs 40871,,Gold,Bestsellers,,sample_data\Pear Shape Contemporary Drop Earrings.PNG,,PLAINGOLD,,Gold Jewellery,"An awe inspiring fusion of the new and the old, these stunning gold drop earrings are perfect for all styles."
17,,,,Yellow,Plain Glossy Gold Kada for Men,,Men,Tanishq,22,,,Casual Wear,Rs 258445,,Gold,Aveer,,sample_data\Plain Glossy Gold Kada for Men.PNG,,,,Gold Jewellery,Exude timeless grace with this classic gold bangle.
18,,,,Yellow,Pretty Cloud Pendant with Chain for Kids,,Kids,Tanishq,22,,,Casual Wear,35864,1.38 Cm,Gold,Bestsellers,,sample_data\Pretty Cloud Pendant with Chain for Kids.PNG,,,1.42 Cm,Gold Jewellery,Lift your spirits with this cute cloud pendant with dangling tassel chains that's sure to grab attention
19,,,,Yellow,Radiant Hexagonal Bracelet,,Women,Tanishq,22,,,Office Wear,Rs 62522,,Gold,Padmaja,,sample_data\Radiant Hexagonal Bracelet.PNG,,,,Gold Jewellery,"Slender and radiant with delicate charm, it's a delightful addition to your ethnic ensemble and makes sure the attention is on you at all times!"
20,,,,White,Sharp Diamond Ring for Men,4,Men,Tanishq,95,,,Casual Wear,Rs 50817,,Platinum,Aveer,,sample_data\Sharp Diamond Ring for Men.PNG,,STUDDED,,Diamond Jewellery,"The clean lines and elegant silhouette of this ring are perfect for the modern, sophisticated gentleman. Choose this as the perfect complement to your sharp work attire."
21,,,,Yellow,Simple Classy Gold Ring for Men,,Men,Tanishq,22,,,Modern Wear,Rs 30492,,Gold,Core 20,,sample_data\Simple Classy Gold Ring for Men.PNG,,,,Gold Jewellery,This wonderful square ring is just the right choice for the effortlessly classy gentleman. It's a splendid ring to immortalise a strong personality
22,,,,Yellow,Sleek Om Bracelet,,Men,Tanishq,22,,,Casual Wear,Rs 49687,,Gold,Religious,,sample_data\Sleek Om Bracelet.PNG,,PLAINGOLD,,Gold Jewellery,Let this enchanting bracelet bring you focus and serenity in life with its Om and sun engraving. This bracelet makes for a lovely gift for Bhai Dooj as well!
23,0.84 Cm,,,Yellow,Stone Diamond Stud Earrings for Kids,,Kids,Tanishq,18,,0.47 Cm,Casual Wear,Rs 31718,,,Udayam,,sample_data\Stone Diamond Stud Earrings for Kids.PNG,,STUDDED,,Diamond Jewellery,Carry elegance on your ears with this pair of stud earrings set in gold and studded with four diamonds.
24,,,,Yellow,Stylish Stamp Ring for Men,,Men,Tanishq,22,,,Casual Wear,Rs 25968,,Gold,Bestsellers,,sample_data\Stylish Stamp Ring for Men.PNG,,,,Gold Jewellery,A striking balance between simplicity and style. The stamp pattern envelopes delicate leaf silhouette. This is a must have accessory for a man of bold tastes!
25,,,,Yellow,Superb Gold Bracelet For Men,,Men,Tanishq,22,,,Casual Wear,Rs 305551,,Gold,Aveer,,sample_data\Superb Gold Bracelet For Men.PNG,,,,Gold Jewellery,
26,2.42 Cm,,,Yellow,Traditional Fancy Graceful Gold Drop Earrings,,Women,Tanishq,22,,1.08 Cm,Traditional And Ethnic Wear,Rs 29061,,Gold,Bestsellers,,sample_data\Traditional Fancy Graceful Gold Drop Earrings.PNG,,Drops,,Gold Jewellery,These Gold Drop Earrings would be for you what daffodils were for Wordsworth. They'd inspire you and turn your remembrance into the most beautiful thing.
